Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2019,1,1,0,0,0,0,-,-,-,-,-
Mandai,2019,1,2,0,0,0,0,-,-,-,-,-
Mandai,2019,1,3,0,0,0,0,-,-,-,-,-
Mandai,2019,1,4,0,0,0,0,-,-,-,-,-
Mandai,2019,1,5,1.6,1.2,1.2,1.2,-,-,-,-,-
Mandai,2019,1,6,0,0,0,0,-,-,-,-,-
Mandai,2019,1,7,0,0,0,0,-,-,-,-,-
Mandai,2019,1,8,3,2,2.2,2.2,-,-,-,-,-
Mandai,2019,1,9,0,0,0,0,-,-,-,-,-
Mandai,2019,1,10,0,0,0,0,-,-,-,-,-
Mandai,2019,1,11,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2019,1,12,7.6,5,6.8,7.6,-,-,-,-,-
Mandai,2019,1,13,9.6,4.2,6.2,9.6,-,-,-,-,-
Mandai,2019,1,14,0,0,0,0,-,-,-,-,-
Mandai,2019,1,15,0,0,0,0,-,-,-,-,-
Mandai,2019,1,16,0,0,0,0,-,-,-,-,-
Mandai,2019,1,17,32.4,10.4,15.8,23.8,-,-,-,-,-
Mandai,2019,1,18,54,17,25.4,32,-,-,-,-,-
Mandai,2019,1,19,0,0,0,0,-,-,-,-,-
Mandai,2019,1,20,1.4,1.2,1.2,1.2,-,-,-,-,-
Mandai,2019,1,21,1.4,1.4,1.4,1.4,-,-,-,-,-
Mandai,2019,1,22,0,0,0,0,-,-,-,-,-
Mandai,2019,1,23,0,0,0,0,-,-,-,-,-
Mandai,2019,1,24,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2019,1,25,0,0,0,0,-,-,-,-,-
Mandai,2019,1,26,0,0,0,0,-,-,-,-,-
Mandai,2019,1,27,5.8,4.4,4.4,4.4,-,-,-,-,-
Mandai,2019,1,28,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2019,1,29,0,0,0,0,-,-,-,-,-
Mandai,2019,1,30,0,0,0,0,-,-,-,-,-
Mandai,2019,1,31,0,0,0,0,-,-,-,-,-
