Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2020,2,1,0,0,0,0,-,-,-,-,-
Mandai,2020,2,2,0,0,0,0,-,-,-,-,-
Mandai,2020,2,3,0,0,0,0,-,-,-,-,-
Mandai,2020,2,4,0,0,0,0,-,-,-,-,-
Mandai,2020,2,5,0,0,0,0,-,-,-,-,-
Mandai,2020,2,6,0,0,0,0,-,-,-,-,-
Mandai,2020,2,7,0,0,0,0,-,-,-,-,-
Mandai,2020,2,8,0,0,0,0,-,-,-,-,-
Mandai,2020,2,9,25.8,9.2,10,11.8,-,-,-,-,-
Mandai,2020,2,10,7.8,5.4,5.8,7.2,-,-,-,-,-
Mandai,2020,2,11,45.8,13.8,15.2,25.8,-,-,-,-,-
Mandai,2020,2,12,2.4,2.4,2.4,2.4,-,-,-,-,-
Mandai,2020,2,13,0,0,0,0,-,-,-,-,-
Mandai,2020,2,14,0,0,0,0,-,-,-,-,-
Mandai,2020,2,15,0,0,0,0,-,-,-,-,-
Mandai,2020,2,16,42.2,28.2,37.4,39.2,-,-,-,-,-
Mandai,2020,2,17,0,0,0,0,-,-,-,-,-
Mandai,2020,2,18,1.2,1,1.2,1.2,-,-,-,-,-
Mandai,2020,2,19,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2020,2,20,0.8,0.2,0.2,0.4,-,-,-,-,-
Mandai,2020,2,21,6.2,1.8,1.8,3.4,-,-,-,-,-
Mandai,2020,2,22,0.4,0.2,0.2,0.2,-,-,-,-,-
Mandai,2020,2,23,0,0,0,0,-,-,-,-,-
Mandai,2020,2,24,2.8,1.6,1.6,2.8,-,-,-,-,-
Mandai,2020,2,25,0,0,0,0,-,-,-,-,-
Mandai,2020,2,26,0,0,0,0,-,-,-,-,-
Mandai,2020,2,27,0,0,0,0,-,-,-,-,-
Mandai,2020,2,28,0,0,0,0,-,-,-,-,-
Mandai,2020,2,29,0,0,0,0,-,-,-,-,-
,,,,,,,,-,-,-,-,-
,,,,,,,,-,-,-,-,-
