Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2022,6,1,     0.6,     0.4,     0.4,     0.4,-,-,-,-,-
Mandai,2022,6,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,6,3,     2.4,     1.6,     1.6,     1.6,-,-,-,-,-
Mandai,2022,6,4,    15.2,     9.8,    14.4,    15.0,-,-,-,-,-
Mandai,2022,6,5,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Mandai,2022,6,6,     2.8,     2.8,     2.8,     2.8,-,-,-,-,-
Mandai,2022,6,7,     0.6,     0.4,     0.4,     0.4,-,-,-,-,-
Mandai,2022,6,8,    18.6,    15.8,    18.2,    18.2,-,-,-,-,-
Mandai,2022,6,9,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2022,6,10,     8.8,     6.0,     7.0,     8.8,-,-,-,-,-
Mandai,2022,6,11,    20.6,    16.8,    18.6,    20.0,-,-,-,-,-
Mandai,2022,6,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,6,13,     4.0,     2.6,     2.6,     2.8,-,-,-,-,-
Mandai,2022,6,14,     6.4,     5.0,     6.4,     6.4,-,-,-,-,-
Mandai,2022,6,15,     6.8,     3.4,     3.4,     3.4,-,-,-,-,-
Mandai,2022,6,16,     7.6,     4.0,     5.6,     7.0,-,-,-,-,-
Mandai,2022,6,17,     0.0,     0.2,     0.2,     0.4,-,-,-,-,-
Mandai,2022,6,18,     6.8,     3.4,     3.4,     3.4,-,-,-,-,-
Mandai,2022,6,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,6,20,    44.6,    33.6,    42.8,    43.8,-,-,-,-,-
Mandai,2022,6,21,    17.8,    15.8,    17.6,    17.8,-,-,-,-,-
Mandai,2022,6,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,6,23,     2.6,     0.8,     1.2,     1.6,-,-,-,-,-
Mandai,2022,6,24,     5.2,     4.4,     4.8,     4.8,-,-,-,-,-
Mandai,2022,6,25,     2.0,     0.6,     0.8,     0.8,-,-,-,-,-
Mandai,2022,6,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,6,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,6,28,     2.8,     2.0,     2.4,     2.4,-,-,-,-,-
Mandai,2022,6,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,6,30,    18.2,    15.8,    17.0,    17.6,-,-,-,-,-
