Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2022,5,1,     5.0,     4.4,     4.6,     4.8,-,-,-,-,-
Mandai,2022,5,2,     3.0,     1.4,     2.0,     2.4,-,-,-,-,-
Mandai,2022,5,3,     7.4,     3.0,     5.0,     5.8,-,-,-,-,-
Mandai,2022,5,4,    42.0,    16.8,    22.8,    35.2,-,-,-,-,-
Mandai,2022,5,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,7,    10.0,     4.4,     4.4,     4.6,-,-,-,-,-
Mandai,2022,5,8,     1.0,     0.2,     0.4,     0.6,-,-,-,-,-
Mandai,2022,5,9,     2.6,     2.4,     2.6,     2.6,-,-,-,-,-
Mandai,2022,5,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,11,    10.0,     4.4,     5.6,     7.4,-,-,-,-,-
Mandai,2022,5,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,14,    34.0,    27.6,    33.6,    34.0,-,-,-,-,-
Mandai,2022,5,15,    14.0,    11.8,    13.4,    14.0,-,-,-,-,-
Mandai,2022,5,16,    50.8,    16.0,    25.6,    45.4,-,-,-,-,-
Mandai,2022,5,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,19,    21.0,    10.4,    10.6,    16.0,-,-,-,-,-
Mandai,2022,5,20,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Mandai,2022,5,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,25,    24.6,    18.8,    20.2,    20.8,-,-,-,-,-
Mandai,2022,5,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,5,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
