Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2022,1,1,27.2,19.6,23.4,24.6,-,-,-,-,-
Mandai,2022,1,2,97.2,26.8,36.8,42.4,-,-,-,-,-
Mandai,2022,1,3,1.2,0.2,0.4,0.6,-,-,-,-,-
Mandai,2022,1,4,28.8,19.8,20.2,27,-,-,-,-,-
Mandai,2022,1,5,0.5,0.5,0.5,0.5,-,-,-,-,-
Mandai,2022,1,6,0,0,0,0,-,-,-,-,-
Mandai,2022,1,7,61.8,27.2,48.4,60.4,-,-,-,-,-
Mandai,2022,1,8,0,0,0,0,-,-,-,-,-
Mandai,2022,1,9,0,0,0,0,-,-,-,-,-
Mandai,2022,1,10,0,0,0,0,-,-,-,-,-
Mandai,2022,1,11,0,0,0,0,-,-,-,-,-
Mandai,2022,1,12,0,0,0,0,-,-,-,-,-
Mandai,2022,1,13,0,0,0,0,-,-,-,-,-
Mandai,2022,1,14,0,0,0,0,-,-,-,-,-
Mandai,2022,1,15,0,0,0,0,-,-,-,-,-
Mandai,2022,1,16,0,0,0,0,-,-,-,-,-
Mandai,2022,1,17,1.6,1,1,1.6,-,-,-,-,-
Mandai,2022,1,18,0,0,0,0,-,-,-,-,-
Mandai,2022,1,19,1,0.6,0.6,0.6,-,-,-,-,-
Mandai,2022,1,20,9.6,5.2,5.2,5.2,-,-,-,-,-
Mandai,2022,1,21,0,0,0,0,-,-,-,-,-
Mandai,2022,1,22,2,2,2,2,-,-,-,-,-
Mandai,2022,1,23,0,0,0,0,-,-,-,-,-
Mandai,2022,1,24,0,0,0,0,-,-,-,-,-
Mandai,2022,1,25,0,0,0,0,-,-,-,-,-
Mandai,2022,1,26,0,0,0,0,-,-,-,-,-
Mandai,2022,1,27,0,0,0,0,-,-,-,-,-
Mandai,2022,1,28,0,0,0,0,-,-,-,-,-
Mandai,2022,1,29,0,0,0,0,-,-,-,-,-
Mandai,2022,1,30,16.2,8.8,9,10,-,-,-,-,-
Mandai,2022,1,31,0,0,0,0,-,-,-,-,-
Mandai,2022,2,1,0,0,0,0,-,-,-,-,-
Mandai,2022,2,2,0,0,0,0,-,-,-,-,-
Mandai,2022,2,3,0,0,0,0,-,-,-,-,-
Mandai,2022,2,4,0,0,0,0,-,-,-,-,-
Mandai,2022,2,5,1.4,0.6,0.6,1,-,-,-,-,-
Mandai,2022,2,6,37.4,19.8,21,25.8,-,-,-,-,-
Mandai,2022,2,7,2.2,1.2,1.8,2,-,-,-,-,-
Mandai,2022,2,8,1,0.6,0.8,0.8,-,-,-,-,-
Mandai,2022,2,9,29.4,11.6,18,23.8,-,-,-,-,-
Mandai,2022,2,10,16.4,4.6,6.4,7,-,-,-,-,-
Mandai,2022,2,11,1.8,1.2,1.4,1.6,-,-,-,-,-
Mandai,2022,2,12,6.4,3.8,5,5.8,-,-,-,-,-
Mandai,2022,2,13,6.2,5,5.8,6,-,-,-,-,-
Mandai,2022,2,14,0,0,0,0,-,-,-,-,-
Mandai,2022,2,15,0.8,0.6,0.6,0.6,-,-,-,-,-
Mandai,2022,2,16,12,11,11,11.4,-,-,-,-,-
Mandai,2022,2,17,3,3,3,3,-,-,-,-,-
Mandai,2022,2,18,0,0,0,0,-,-,-,-,-
Mandai,2022,2,19,0.6,0.6,0.6,0.6,-,-,-,-,-
Mandai,2022,2,20,32,27.8,31.8,32,-,-,-,-,-
Mandai,2022,2,21,0,0,0,0,-,-,-,-,-
Mandai,2022,2,22,0,0,0,0,-,-,-,-,-
Mandai,2022,2,23,0,0,0,0,-,-,-,-,-
Mandai,2022,2,24,16.8,5.6,8.2,11.4,-,-,-,-,-
Mandai,2022,2,25,1.6,1.4,1.6,1.6,-,-,-,-,-
Mandai,2022,2,26,0,0,0,0,-,-,-,-,-
Mandai,2022,2,27,49.8,22.6,28.8,40,-,-,-,-,-
Mandai,2022,2,28,0,0,0,0,-,-,-,-,-
Mandai,2022,3,1,27,25,26.6,27,-,-,-,-,-
Mandai,2022,3,2,65.4,33.2,43,64.2,-,-,-,-,-
Mandai,2022,3,3,3.6,1.8,2,2.2,-,-,-,-,-
Mandai,2022,3,4,0,0,0,0.2,-,-,-,-,-
Mandai,2022,3,5,16,11,14.4,16,-,-,-,-,-
Mandai,2022,3,6,0,0,0,0,-,-,-,-,-
Mandai,2022,3,7,76.6,47.2,69.2,76.2,-,-,-,-,-
Mandai,2022,3,8,1,1,1,1,-,-,-,-,-
Mandai,2022,3,9,1,1,1,1,-,-,-,-,-
Mandai,2022,3,10,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2022,3,11,3.6,2.2,3.4,3.4,-,-,-,-,-
Mandai,2022,3,12,0,0,0,0,-,-,-,-,-
Mandai,2022,3,13,0,0,0,0,-,-,-,-,-
Mandai,2022,3,14,0,0,0,0,-,-,-,-,-
Mandai,2022,3,15,0,0,0,0,-,-,-,-,-
Mandai,2022,3,16,0,0,0,0,-,-,-,-,-
Mandai,2022,3,17,1.8,-,-,-,-,-,-,-,-
Mandai,2022,3,18,0,0,0,0,-,-,-,-,-
Mandai,2022,3,19,0,0,0,0,-,-,-,-,-
Mandai,2022,3,20,0,0,0,0,-,-,-,-,-
Mandai,2022,3,21,1.2,1,1,1.2,-,-,-,-,-
Mandai,2022,3,22,1,0.6,1,1,-,-,-,-,-
Mandai,2022,3,23,15.2,9.4,14.4,15.2,-,-,-,-,-
Mandai,2022,3,24,0.8,0.6,0.8,0.8,-,-,-,-,-
Mandai,2022,3,25,0,0,0,0,-,-,-,-,-
Mandai,2022,3,26,0,0,0,0,-,-,-,-,-
Mandai,2022,3,27,0,0,0,0,-,-,-,-,-
Mandai,2022,3,28,18.6,17,18.6,18.6,-,-,-,-,-
Mandai,2022,3,29,49.4,40.2,49.4,49.4,-,-,-,-,-
Mandai,2022,3,30,0,0,0,0,-,-,-,-,-
Mandai,2022,3,31,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2022,4,1,0,0,0,0,-,-,-,-,-
Mandai,2022,4,2,1,1,1,1,-,-,-,-,-
Mandai,2022,4,3,11.6,5.8,6.6,11.2,-,-,-,-,-
Mandai,2022,4,4,0,0,0,0,-,-,-,-,-
Mandai,2022,4,5,0,0,0,0,-,-,-,-,-
Mandai,2022,4,6,5,2.8,3.6,4.8,-,-,-,-,-
Mandai,2022,4,7,0.8,0.4,0.4,0.4,-,-,-,-,-
Mandai,2022,4,8,0,0,0,0,-,-,-,-,-
Mandai,2022,4,9,5.6,5.6,5.6,5.6,-,-,-,-,-
Mandai,2022,4,10,0.6,0.6,0.6,0.6,-,-,-,-,-
Mandai,2022,4,11,21,18,21,21,-,-,-,-,-
Mandai,2022,4,12,9.8,5.4,5.4,5.4,-,-,-,-,-
Mandai,2022,4,13,0,0,0,0,-,-,-,-,-
Mandai,2022,4,14,4.6,3.4,4,4.6,-,-,-,-,-
Mandai,2022,4,15,7.8,4,4.6,6.2,-,-,-,-,-
Mandai,2022,4,16,0,0,0,0,-,-,-,-,-
Mandai,2022,4,17,8.8,6.6,8.8,8.8,-,-,-,-,-
Mandai,2022,4,18,32,13.4,19.6,30.4,-,-,-,-,-
Mandai,2022,4,19,5.2,3.4,3.6,3.8,-,-,-,-,-
Mandai,2022,4,20,6.2,5.2,6.2,6.2,-,-,-,-,-
Mandai,2022,4,21,4.2,1.6,2.6,3.6,-,-,-,-,-
Mandai,2022,4,22,0,0,0,0,-,-,-,-,-
Mandai,2022,4,23,14.6,14,14.6,14.6,-,-,-,-,-
Mandai,2022,4,24,0,0,0,0,-,-,-,-,-
Mandai,2022,4,25,9.4,2.4,3.6,3.6,-,-,-,-,-
Mandai,2022,4,26,0,0,0,0,-,-,-,-,-
Mandai,2022,4,27,0,0,0,0,-,-,-,-,-
Mandai,2022,4,28,1,0.8,1,1,-,-,-,-,-
Mandai,2022,4,29,0,0,0,0,-,-,-,-,-
Mandai,2022,4,30,24,21.8,21.8,22,-,-,-,-,-
Mandai,2022,5,1,5,4.4,4.6,4.8,-,-,-,-,-
Mandai,2022,5,2,3,1.4,2,2.4,-,-,-,-,-
Mandai,2022,5,3,7.4,3,5,5.8,-,-,-,-,-
Mandai,2022,5,4,42,16.8,22.8,35.2,-,-,-,-,-
Mandai,2022,5,5,0,0,0,0,-,-,-,-,-
Mandai,2022,5,6,0,0,0,0,-,-,-,-,-
Mandai,2022,5,7,10,4.4,4.4,4.6,-,-,-,-,-
Mandai,2022,5,8,1,0.2,0.4,0.6,-,-,-,-,-
Mandai,2022,5,9,2.6,2.4,2.6,2.6,-,-,-,-,-
Mandai,2022,5,10,0,0,0,0,-,-,-,-,-
Mandai,2022,5,11,10,4.4,5.6,7.4,-,-,-,-,-
Mandai,2022,5,12,0,0,0,0,-,-,-,-,-
Mandai,2022,5,13,0,0,0,0,-,-,-,-,-
Mandai,2022,5,14,34,27.6,33.6,34,-,-,-,-,-
Mandai,2022,5,15,14,11.8,13.4,14,-,-,-,-,-
Mandai,2022,5,16,50.8,16,25.6,45.4,-,-,-,-,-
Mandai,2022,5,17,0,0,0,0,-,-,-,-,-
Mandai,2022,5,18,0,0,0,0,-,-,-,-,-
Mandai,2022,5,19,21,10.4,10.6,16,-,-,-,-,-
Mandai,2022,5,20,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2022,5,21,0,0,0,0,-,-,-,-,-
Mandai,2022,5,22,0,0,0,0,-,-,-,-,-
Mandai,2022,5,23,0,0,0,0,-,-,-,-,-
Mandai,2022,5,24,0,0,0,0,-,-,-,-,-
Mandai,2022,5,25,24.6,18.8,20.2,20.8,-,-,-,-,-
Mandai,2022,5,26,0,0,0,0,-,-,-,-,-
Mandai,2022,5,27,0,0,0,0,-,-,-,-,-
Mandai,2022,5,28,0,0,0,0,-,-,-,-,-
Mandai,2022,5,29,0,0,0,0,-,-,-,-,-
Mandai,2022,5,30,0,0,0,0,-,-,-,-,-
Mandai,2022,5,31,0,0,0,0,-,-,-,-,-
Mandai,2022,6,1,0.6,0.4,0.4,0.4,-,-,-,-,-
Mandai,2022,6,2,0,0,0,0,-,-,-,-,-
Mandai,2022,6,3,2.4,1.6,1.6,1.6,-,-,-,-,-
Mandai,2022,6,4,15.2,9.8,14.4,15,-,-,-,-,-
Mandai,2022,6,5,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2022,6,6,2.8,2.8,2.8,2.8,-,-,-,-,-
Mandai,2022,6,7,0.6,0.4,0.4,0.4,-,-,-,-,-
Mandai,2022,6,8,18.6,15.8,18.2,18.2,-,-,-,-,-
Mandai,2022,6,9,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2022,6,10,8.8,6,7,8.8,-,-,-,-,-
Mandai,2022,6,11,20.6,16.8,18.6,20,-,-,-,-,-
Mandai,2022,6,12,0,0,0,0,-,-,-,-,-
Mandai,2022,6,13,4,2.6,2.6,2.8,-,-,-,-,-
Mandai,2022,6,14,6.4,5,6.4,6.4,-,-,-,-,-
Mandai,2022,6,15,6.8,3.4,3.4,3.4,-,-,-,-,-
Mandai,2022,6,16,7.6,4,5.6,7,-,-,-,-,-
Mandai,2022,6,17,0,0.2,0.2,0.4,-,-,-,-,-
Mandai,2022,6,18,6.8,3.4,3.4,3.4,-,-,-,-,-
Mandai,2022,6,19,0,0,0,0,-,-,-,-,-
Mandai,2022,6,20,44.6,33.6,42.8,43.8,-,-,-,-,-
