,ID,Date,Feeding_Time,Pellet_Cake,Fish_Prawn,Swimming_Eratically,Body_Coloration,Rubbing,Remarks,month,day
1,MGC1,1/7/22,AM,0,0,Pfis,0,NA,,7,1
2,MGC1,1/7/22,PM,0,0,0,0,NA,,7,1
3,MGC2,1/7/22,AM,0,1,0,0,NA,,7,1
4,MGC2,1/7/22,PM,0,1,0,0,NA,,7,1
5,MGC3,1/7/22,AM,0,1,0,0,NA,,7,1
6,MGC3,1/7/22,PM,0,1,0,0,NA,,7,1
7,MGC4,1/7/22,AM,0,1,0,0,NA,,7,1
8,MGC4,1/7/22,PM,1,1,0,0,NA,,7,1
9,MGC5,1/7/22,AM,0,1,0,0,NA,,7,1
10,MGC5,1/7/22,PM,1,1,0,0,NA,,7,1
11,MGC6,1/7/22,AM,1,1,0,0,NA,,7,1
12,MGC6,1/7/22,PM,0,0,0,0,NA,,7,1
13,MGC1,2/7/22,AM,0,0,0,0,NA,,7,2
14,MGC1,2/7/22,PM,0,0,0,0,NA,,7,2
15,MGC2,2/7/22,AM,0,1,0,0,NA,,7,2
16,MGC2,2/7/22,PM,1,1,0,0,NA,,7,2
17,MGC3,2/7/22,AM,0,1,0,0,NA,,7,2
18,MGC3,2/7/22,PM,0,1,0,0,NA,,7,2
19,MGC4,2/7/22,AM,0,1,0,0,NA,,7,2
20,MGC4,2/7/22,PM,1,1,0,0,NA,,7,2
21,MGC5,2/7/22,AM,0,1,0,0,NA,,7,2
22,MGC5,2/7/22,PM,1,1,0,0,NA,,7,2
23,MGC6,2/7/22,AM,0,1,0,0,NA,,7,2
24,MGC6,2/7/22,PM,1,0,0,0,NA,,7,2
25,MGC1,3/7/22,AM,0,0,0,0,NA,,7,3
26,MGC1,3/7/22,PM,0,0,0,0,NA,,7,3
27,MGC2,3/7/22,AM,1,1,0,0,NA,,7,3
28,MGC2,3/7/22,PM,1,0,0,0,NA,,7,3
29,MGC3,3/7/22,AM,0,1,0,0,NA,,7,3
30,MGC3,3/7/22,PM,1,1,0,0,NA,,7,3
31,MGC4,3/7/22,AM,1,1,0,0,NA,,7,3
32,MGC4,3/7/22,PM,1,1,0,0,NA,,7,3
33,MGC5,3/7/22,AM,1,1,0,0,NA,,7,3
34,MGC5,3/7/22,PM,1,1,0,0,NA,,7,3
35,MGC6,3/7/22,AM,1,1,0,0,NA,,7,3
36,MGC6,3/7/22,PM,1,1,0,0,NA,,7,3
37,MGC1,4/7/22,AM,0,0,0,0,NA,,7,4
38,MGC1,4/7/22,PM,0,0,0,0,NA,,7,4
39,MGC2,4/7/22,AM,0,1,0,0,NA,,7,4
40,MGC2,4/7/22,PM,0,1,0,0,NA,,7,4
41,MGC3,4/7/22,AM,0,0,0,0,NA,,7,4
42,MGC3,4/7/22,PM,0,1,0,0,NA,,7,4
43,MGC4,4/7/22,AM,1,1,0,0,NA,,7,4
44,MGC4,4/7/22,PM,1,1,0,0,NA,,7,4
45,MGC5,4/7/22,AM,1,1,0,0,NA,,7,4
46,MGC5,4/7/22,PM,1,1,0,0,NA,,7,4
47,MGC6,4/7/22,AM,0,1,0,0,NA,,7,4
48,MGC6,4/7/22,PM,1,0,0,0,NA,,7,4
49,MGC1,5/7/22,AM,0,0,0,0,NA,,7,5
50,MGC1,5/7/22,PM,0,0,0,0,NA,,7,5
51,MGC2,5/7/22,AM,1,1,0,0,NA,,7,5
52,MGC2,5/7/22,PM,1,1,0,0,NA,,7,5
53,MGC3,5/7/22,AM,0,1,0,0,NA,,7,5
54,MGC3,5/7/22,PM,1,1,0,0,NA,,7,5
55,MGC4,5/7/22,AM,1,1,0,0,NA,,7,5
56,MGC4,5/7/22,PM,1,1,0,0,NA,,7,5
57,MGC5,5/7/22,AM,1,1,0,0,NA,,7,5
58,MGC5,5/7/22,PM,0,1,0,0,NA,,7,5
59,MGC6,5/7/22,AM,0,0,0,0,NA,,7,5
60,MGC6,5/7/22,PM,0,1,0,0,NA,,7,5
61,MGC1,6/7/22,AM,0,0,0,0,NA,,7,6
62,MGC1,6/7/22,PM,0,0,0,0,NA,,7,6
63,MGC2,6/7/22,AM,0,0,0,0,NA,,7,6
64,MGC2,6/7/22,PM,1,1,0,0,NA,,7,6
65,MGC3,6/7/22,AM,1,1,0,0,NA,,7,6
66,MGC3,6/7/22,PM,1,1,0,0,NA,,7,6
67,MGC4,6/7/22,AM,1,1,0,0,NA,,7,6
68,MGC4,6/7/22,PM,1,1,0,0,NA,,7,6
69,MGC5,6/7/22,AM,0,1,0,0,NA,,7,6
70,MGC5,6/7/22,PM,0,0,0,0,NA,,7,6
71,MGC6,6/7/22,AM,1,0,0,0,NA,,7,6
72,MGC6,6/7/22,PM,1,1,0,0,NA,,7,6
73,MGC1,7/7/22,AM,0,0,0,0,NA,,7,7
74,MGC1,7/7/22,PM,0,0,0,0,NA,,7,7
75,MGC2,7/7/22,AM,0,1,0,0,NA,,7,7
76,MGC2,7/7/22,PM,0,1,0,0,NA,,7,7
77,MGC3,7/7/22,AM,0,0,0,0,NA,,7,7
78,MGC3,7/7/22,PM,0,0,0,0,NA,,7,7
79,MGC4,7/7/22,AM,1,1,0,0,NA,,7,7
80,MGC4,7/7/22,PM,0,1,0,0,NA,,7,7
81,MGC5,7/7/22,AM,1,1,0,0,NA,,7,7
82,MGC5,7/7/22,PM,1,1,0,0,NA,,7,7
83,MGC6,7/7/22,AM,0,0,0,0,NA,,7,7
84,MGC6,7/7/22,PM,0,0,0,0,NA,,7,7
85,MGC1,8/7/22,AM,0,0,0,0,NA,,7,8
86,MGC1,8/7/22,PM,0,0,0,0,NA,,7,8
87,MGC2,8/7/22,AM,0,1,0,0,NA,,7,8
88,MGC2,8/7/22,PM,0,1,0,0,NA,,7,8
89,MGC3,8/7/22,AM,1,0,0,0,NA,,7,8
90,MGC3,8/7/22,PM,1,1,0,0,NA,,7,8
91,MGC4,8/7/22,AM,1,1,0,0,NA,,7,8
92,MGC4,8/7/22,PM,1,1,0,0,NA,,7,8
93,MGC5,8/7/22,AM,0,1,0,0,NA,,7,8
94,MGC5,8/7/22,PM,1,1,0,0,NA,,7,8
95,MGC6,8/7/22,AM,0,0,0,0,NA,,7,8
96,MGC6,8/7/22,PM,1,1,0,0,NA,,7,8
97,MGC1,9/7/22,AM,0,0,0,0,NA,,7,9
98,MGC1,9/7/22,PM,0,0,0,0,NA,,7,9
99,MGC2,9/7/22,AM,1,1,0,0,NA,,7,9
100,MGC2,9/7/22,PM,1,1,0,0,NA,,7,9
101,MGC3,9/7/22,AM,1,1,0,0,NA,,7,9
102,MGC3,9/7/22,PM,1,1,0,0,NA,,7,9
103,MGC4,9/7/22,AM,1,1,0,0,NA,,7,9
104,MGC4,9/7/22,PM,1,1,0,0,NA,,7,9
105,MGC5,9/7/22,AM,1,1,0,0,NA,,7,9
106,MGC5,9/7/22,PM,1,1,0,0,NA,,7,9
107,MGC6,9/7/22,AM,1,1,0,0,NA,,7,9
108,MGC6,9/7/22,PM,1,1,0,0,NA,,7,9
109,MGC1,10/7/22,AM,0,0,0,0,NA,,7,10
110,MGC1,10/7/22,PM,0,0,0,0,NA,,7,10
111,MGC2,10/7/22,AM,1,1,0,0,NA,,7,10
112,MGC2,10/7/22,PM,1,1,0,0,NA,,7,10
113,MGC3,10/7/22,AM,1,1,0,0,NA,,7,10
114,MGC3,10/7/22,PM,1,1,0,0,NA,,7,10
115,MGC4,10/7/22,AM,1,1,0,0,NA,,7,10
116,MGC4,10/7/22,PM,1,1,0,0,NA,,7,10
117,MGC5,10/7/22,AM,1,1,0,0,NA,,7,10
118,MGC5,10/7/22,PM,1,1,0,0,NA,,7,10
119,MGC6,10/7/22,AM,0,1,0,0,NA,,7,10
120,MGC6,10/7/22,PM,1,1,0,0,NA,,7,10
121,MGC1,11/7/22,AM,0,0,0,0,NA,,7,11
122,MGC1,11/7/22,PM,0,0,0,0,NA,,7,11
123,MGC2,11/7/22,AM,1,1,0,0,NA,,7,11
124,MGC2,11/7/22,PM,1,1,0,0,NA,,7,11
125,MGC3,11/7/22,AM,1,1,0,0,NA,,7,11
126,MGC3,11/7/22,PM,1,1,0,0,NA,,7,11
127,MGC4,11/7/22,AM,0,0,0,0,NA,,7,11
128,MGC4,11/7/22,PM,0,1,0,0,NA,,7,11
129,MGC5,11/7/22,AM,0,0,0,0,NA,,7,11
130,MGC5,11/7/22,PM,1,1,0,0,NA,,7,11
131,MGC6,11/7/22,AM,0,0,0,0,NA,,7,11
132,MGC6,11/7/22,PM,0,1,0,0,NA,,7,11
133,MGC1,12/7/22,AM,0,0,0,0,NA,,7,12
134,MGC1,12/7/22,PM,0,1,0,0,NA,,7,12
135,MGC2,12/7/22,AM,1,1,0,0,NA,,7,12
136,MGC2,12/7/22,PM,0,0,0,0,NA,,7,12
137,MGC3,12/7/22,AM,1,1,0,0,NA,,7,12
138,MGC3,12/7/22,PM,1,1,0,0,NA,,7,12
139,MGC4,12/7/22,AM,1,1,0,0,NA,,7,12
140,MGC4,12/7/22,PM,0,0,0,0,NA,,7,12
141,MGC5,12/7/22,AM,1,1,0,0,NA,,7,12
142,MGC5,12/7/22,PM,0,0,0,0,NA,,7,12
143,MGC6,12/7/22,AM,1,1,0,0,NA,,7,12
144,MGC6,12/7/22,PM,0,1,0,0,NA,,7,12
145,MGC1,13/7/22,AM,1,0,0,0,NA,,7,13
146,MGC1,13/7/22,PM,1,1,0,0,NA,,7,13
147,MGC2,13/7/22,AM,1,1,0,0,NA,,7,13
148,MGC2,13/7/22,PM,1,1,0,0,NA,,7,13
149,MGC3,13/7/22,AM,1,1,0,0,NA,,7,13
150,MGC3,13/7/22,PM,0,1,0,0,NA,,7,13
151,MGC4,13/7/22,AM,1,1,0,0,NA,,7,13
152,MGC4,13/7/22,PM,1,1,0,0,NA,,7,13
153,MGC5,13/7/22,AM,1,1,0,0,NA,,7,13
154,MGC5,13/7/22,PM,1,0,0,0,NA,,7,13
155,MGC6,13/7/22,AM,0,1,0,0,NA,,7,13
156,MGC6,13/7/22,PM,1,0,0,0,NA,,7,13
157,MGC1,14/7/22,AM,0,1,0,0,NA,,7,14
158,MGC1,14/7/22,PM,0,0,0,0,NA,,7,14
159,MGC2,14/7/22,AM,1,0,0,0,NA,,7,14
160,MGC2,14/7/22,PM,0,1,0,0,NA,,7,14
161,MGC3,14/7/22,AM,0,0,0,0,NA,,7,14
162,MGC3,14/7/22,PM,0,1,0,0,NA,,7,14
163,MGC4,14/7/22,AM,1,1,0,0,NA,,7,14
164,MGC4,14/7/22,PM,0,1,0,0,NA,,7,14
165,MGC5,14/7/22,AM,1,1,1,0,NA,,7,14
166,MGC5,14/7/22,PM,1,1,0,0,NA,,7,14
167,MGC6,14/7/22,AM,0,1,0,0,NA,,7,14
168,MGC6,14/7/22,PM,1,1,0,0,NA,,7,14
169,MGC1,15/7/22,AM,1,0,0,0,NA,,7,15
170,MGC1,15/7/22,PM,1,1,0,0,NA,,7,15
171,MGC2,15/7/22,AM,0,1,0,0,NA,,7,15
172,MGC2,15/7/22,PM,0,1,0,0,NA,,7,15
173,MGC3,15/7/22,AM,0,0,0,0,NA,,7,15
174,MGC3,15/7/22,PM,0,0,0,0,NA,,7,15
175,MGC4,15/7/22,AM,1,1,0,0,NA,,7,15
176,MGC4,15/7/22,PM,0,1,0,0,NA,,7,15
177,MGC5,15/7/22,AM,1,1,0,0,NA,,7,15
178,MGC5,15/7/22,PM,0,1,0,0,NA,,7,15
179,MGC6,15/7/22,AM,1,0,0,0,NA,,7,15
180,MGC6,15/7/22,PM,1,1,0,0,NA,,7,15
181,MGC1,16/7/22,AM,0,1,0,0,NA,,7,16
182,MGC1,16/7/22,PM,0,0,0,0,NA,,7,16
183,MGC2,16/7/22,AM,0,0,0,0,NA,,7,16
184,MGC2,16/7/22,PM,1,1,0,0,NA,,7,16
185,MGC3,16/7/22,AM,0,0,0,0,NA,,7,16
186,MGC3,16/7/22,PM,0,1,0,0,NA,,7,16
187,MGC4,16/7/22,AM,1,1,0,0,NA,,7,16
188,MGC4,16/7/22,PM,1,0,0,0,NA,,7,16
189,MGC5,16/7/22,AM,1,1,0,0,NA,,7,16
190,MGC5,16/7/22,PM,0,1,0,0,NA,,7,16
191,MGC6,16/7/22,AM,1,0,0,0,NA,,7,16
192,MGC6,16/7/22,PM,0,0,0,0,NA,,7,16
193,MGC1,17/7/22,AM,0,1,0,0,NA,,7,17
194,MGC1,17/7/22,PM,0,0,0,0,NA,,7,17
195,MGC2,17/7/22,AM,0,1,0,0,NA,,7,17
196,MGC2,17/7/22,PM,1,1,0,0,NA,,7,17
197,MGC3,17/7/22,AM,1,1,0,0,NA,,7,17
