Date,Eating,Not-eating,Normally,Erratically,Dark,Bright,Rainfall,,,,
1/1/2021,6,0,0,6,6,0,76.4,,,,
1/2/2021,6,0,0,6,6,0,127.2,,,,
1/3/2021,6,0,0,6,6,0,2.2,,,,
1/4/2021,6,0,0,6,6,0,0,,,,
1/5/2021,6,0,0,6,6,0,0,,,,
1/6/2021,6,0,0,6,6,0,0,,,,
1/7/2021,6,0,0,6,6,0,1.8,,,,
1/8/2021,6,0,0,6,6,0,8.4,,,,
1/9/2021,6,0,0,6,6,0,19.6,,,,
1/10/2021,6,0,0,6,6,0,106.4,,,,
1/11/2021,6,0,4,2,4,2,2.2,,,,
1/12/2021,6,0,4,2,4,2,11.2,,,,
1/13/2021,6,0,6,0,4,2,2.2,,,,
1/14/2021,6,0,6,0,6,0,0,,,,
1/15/2021,6,0,5,1,6,0,0,,,,
1/16/2021,6,0,5,1,6,0,0,,,,
1/17/2021,6,0,6,0,6,0,0,,,,
1/18/2021,6,0,6,0,6,0,0,,,,
1/19/2021,6,0,6,0,6,0,0,,,,
1/20/2021,6,0,3,3,6,0,0,,,,
1/21/2021,6,0,6,0,6,0,18.8,,,,
1/22/2021,6,0,6,0,6,0,9,,,,
1/23/2021,6,0,6,0,6,0,23.8,,,,
1/24/2021,6,0,6,0,6,0,0.2,,,,
1/25/2021,6,0,6,0,6,0,8,,,,
1/26/2021,6,0,6,0,4,2,0,,,,
1/27/2021,6,0,6,0,4,2,2.2,,,,
1/28/2021,6,0,6,0,4,2,1.6,,,,
1/29/2021,6,0,6,0,4,2,0,,,,
1/30/2021,6,0,6,0,4,2,0,,,,
1/31/2021,6,0,6,0,4,2,0,,,,
2/1/2021,6,0,6,0,4,2,0,,,,
2/2/2021,6,0,6,0,4,2,0,,,,
2/3/2021,6,0,6,0,4,2,0,,,,
2/4/2021,6,0,6,0,4,2,0,,,,
2/5/2021,6,0,6,0,4,2,0,,,,
2/6/2021,6,0,6,0,4,2,0,,,,
2/7/2021,6,0,6,0,4,2,0,,,,
2/8/2021,6,0,6,0,4,2,2.6,,,,
2/9/2021,6,0,6,0,4,2,0,,,,
2/10/2021,6,0,6,0,4,2,0.2,,,,
2/11/2021,6,0,6,0,4,2,11.4,,,,
2/12/2021,6,0,6,0,4,2,3.2,,,,
2/13/2021,6,0,6,0,4,2,2.2,,,,
2/14/2021,6,0,6,0,6,0,0,,,,
2/15/2021,6,0,6,0,6,0,0,,,,
2/16/2021,6,0,6,0,6,0,0,,,,
2/17/2021,6,0,6,0,6,0,0,,,,
2/18/2021,6,0,6,0,6,0,0,,,,
2/19/2021,6,0,6,0,6,0,0,,,,
2/20/2021,5,1,6,0,6,0,0,Construction work started opposite the exhibit (drilling observed),,,
2/21/2021,5,1,5,1,6,0,0.8,,,,
2/22/2021,5,1,6,0,6,0,0,,,,
2/23/2021,2,4,6,0,6,0,0,,,,
2/24/2021,6,0,6,0,6,0,0,,,,
2/25/2021,6,0,6,0,6,0,1.6,,,,
2/26/2021,6,0,6,0,6,0,0,,,,
2/27/2021,6,0,6,0,6,0,0,,,,
2/28/2021,6,0,6,0,6,0,0,,,,
3/1/2021,6,0,6,0,4,2,0,,,,
3/2/2021,6,0,6,0,4,2,0,,,,
3/3/2021,6,0,6,0,4,2,0,,,,
3/4/2021,6,0,6,0,4,2,0,,,,
3/5/2021,6,0,6,0,4,2,0,,,,
3/6/2021,6,0,6,0,4,2,30.2,,,,
3/7/2021,6,0,6,0,4,2,54.8,,,,
3/8/2021,6,0,6,0,6,0,0.2,,,,
3/9/2021,6,0,6,0,6,0,0,,,,
3/10/2021,6,0,6,0,6,0,0,,,,
3/11/2021,6,0,6,0,6,0,0,,,,
3/12/2021,6,0,6,0,6,0,33.2,,,,
3/13/2021,6,0,6,0,6,0,8.2,,,,
3/14/2021,6,0,6,0,6,0,0.4,,,,
3/15/2021,6,0,6,0,6,0,0,,,,
3/16/2021,6,0,6,0,6,0,2,,,,
3/17/2021,6,0,6,0,6,0,14.2,,,,
3/18/2021,6,0,6,0,6,0,66.4,,,,
3/19/2021,6,0,6,0,6,0,4.8,,,,
3/20/2021,6,0,6,0,6,0,3.2,,,,
3/21/2021,6,0,6,0,6,0,2.2,,,,
3/22/2021,6,0,6,0,6,0,0,,,,
3/23/2021,6,0,6,0,6,0,20.2,,,,
3/24/2021,6,0,6,0,4,2,12,,,,
3/25/2021,6,0,6,0,4,2,0.2,,,,
3/26/2021,6,0,6,0,4,2,0,,,,
3/27/2021,6,0,6,0,4,2,2.8,,,,
3/28/2021,6,0,6,0,4,2,7.2,,,,
3/29/2021,6,0,6,0,6,0,32.8,,,,
3/30/2021,6,0,6,0,6,0,0,,,,
3/31/2021,6,0,6,0,6,0,8.8,,,,
4/1/2021,6,0,6,0,4,2,0,,,,
4/2/2021,6,0,6,0,6,0,71.4,,,,
4/3/2021,6,0,6,0,6,0,0.2,,,,
4/4/2021,6,0,6,0,6,0,2.6,,,,
4/5/2021,6,0,6,0,6,0,40.2,,,,
4/6/2021,6,0,6,0,4,2,18.8,,,,
4/7/2021,6,0,6,0,4,2,0.4,,,,
4/8/2021,6,0,6,0,4,2,0.2,,,,
4/9/2021,6,0,6,0,4,2,10.4,,,,
4/10/2021,6,0,6,0,4,2,0,,,,
4/11/2021,6,0,6,0,4,2,0,,,,
4/12/2021,6,0,6,0,4,2,0.8,,,,
4/13/2021,6,0,6,0,4,2,6.4,,,,
4/14/2021,6,0,6,0,6,0,0.2,,,,
4/15/2021,6,0,6,0,6,0,24.2,,,,
4/16/2021,6,0,6,0,6,0,0.2,,,,
4/17/2021,6,0,6,0,6,0,61.8,,,,
4/18/2021,6,0,6,0,6,0,40.4,,,,
4/19/2021,6,0,6,0,6,0,22.2,,,,
4/20/2021,6,0,6,0,6,0,0,,,,
4/21/2021,6,0,6,0,6,0,0,,,,
4/22/2021,6,0,6,0,6,0,20.8,,,,
4/23/2021,6,0,6,0,6,0,0,,,,
4/24/2021,6,0,6,0,6,0,11,,,,
4/25/2021,6,0,6,0,6,0,0,,,,
4/26/2021,6,0,6,0,6,0,82.4,,,,
4/27/2021,6,0,6,0,6,0,0,,,,
4/28/2021,6,0,6,0,6,0,33.6,,,,
4/29/2021,6,0,6,0,6,0,24.8,,,,
4/30/2021,6,0,6,0,6,0,13,,,,
5/1/2021,6,0,6,0,6,0,0.2,,,,
5/2/2021,6,0,6,0,6,0,0,,,,
5/3/2021,6,0,6,0,6,0,0,,,,
5/4/2021,6,0,6,0,6,0,1.6,,,,
5/5/2021,6,0,6,0,6,0,53.4,,,,
5/6/2021,6,0,6,0,6,0,2.6,,,,
5/7/2021,6,0,6,0,6,0,26,,,,
5/8/2021,6,0,6,0,6,0,16.6,,,,
5/9/2021,6,0,6,0,6,0,1.4,,,,
5/10/2021,6,0,6,0,6,0,0,,,,
5/11/2021,6,0,6,0,6,0,0,,,,
5/12/2021,6,0,6,0,6,0,16,,,,
5/13/2021,6,0,6,0,6,0,26.2,,,,
5/14/2021,6,0,6,0,6,0,7.8,,,,
5/15/2021,6,0,6,0,6,0,0,,,,
5/16/2021,6,0,6,0,6,0,0,,,,
5/17/2021,6,0,6,0,6,0,15,,,,
5/18/2021,6,0,6,0,6,0,30.2,,,,
5/19/2021,6,0,6,0,6,0,0,,,,
5/20/2021,6,0,6,0,6,0,0,,,,
5/21/2021,6,0,6,0,6,0,28.2,,,,
5/22/2021,6,0,6,0,6,0,0.2,,,,
5/23/2021,6,0,6,0,6,0,0,,,,
5/24/2021,6,0,6,0,6,0,0,,,,
5/25/2021,6,0,6,0,6,2,0,,,,
5/26/2021,6,0,6,0,6,2,0,,,,
5/27/2021,6,0,6,0,6,2,3.6,,,,
5/28/2021,6,0,6,0,6,0,0,,,,
5/29/2021,6,0,6,0,6,0,0.2,,,,
5/30/2021,6,0,6,0,6,0,0,,,,
5/31/2021,6,0,6,0,6,0,22.4,,,,
6/1/2021,6,0,6,0,4,2,3.2,Poor feeding respond from June to August ,,,
6/2/2021,6,0,6,0,4,2,17.6,,,,
6/3/2021,6,0,6,0,6,0,1.6,,,,
6/4/2021,6,0,6,0,6,0,6,,,,
6/5/2021,6,0,6,0,6,0,6.6,,,,
6/6/2021,6,0,6,0,4,2,0,,,,
6/7/2021,3,3,6,0,6,0,0,,,,
6/8/2021,3,3,6,0,6,0,0,,,,
6/9/2021,6,0,6,0,6,0,0,,,,
6/10/2021,6,0,6,0,6,0,54.6,,,,
6/11/2021,6,0,6,0,6,0,0,,,,
6/12/2021,6,0,6,0,6,0,0,,,,
6/13/2021,4,2,6,0,6,0,3.8,,,,
